w7a,64,[0.46022990466769564],[0.44030186158459295],[0.026653926896718708],[0.02595204320098324]
w7a,64,[0.45298870325010054],[0.4518783583384705],[0.026480102704980673],[0.026451472854104343]
w7a,64,[0.45298870325010054],[0.4380053082075932],[0.026480102704980673],[0.02594239894829533]
w7a,64,[0.45244162001184174],[0.4380053082075932],[0.026587244661046158],[0.02594239894829533]
w7a,64,[0.4603004034243374],[0.43864632442062634],[0.026621288394408336],[0.025993668607377986]
celeba,16,[0.7655880492846598],[0.7521726366292182],[0.07740677050921399],[0.07689854972674293]
celeba,16,[0.7682852369810123],[0.7529848992881006],[0.07780389235949714],[0.07567044257278814]
celeba,16,[0.7668466884610272],[0.7512089069285445],[0.07783598900216869],[0.07576638301461294]
celeba,16,[0.7666007844489782],[0.751010351600929],[0.07769666876455526],[0.07454443717100767]
celeba,16,[0.7657100390928381],[0.7351918234516884],[0.07721356772457211],[0.07322906030795165]
probe,16,[0.9971827981378378],[0.9971558441775552],[0.9971913272202143],[0.9970714328039949],[0.9972975584663842],[0.9972728110545844],[0.9973382469034896],[0.9972143078086328],[0.9973054735182133],[0.9972191130928513],[0.9629542458675626],[0.9625404777168337],[0.9628358977460814],[0.9611405894468545],[0.9637310150306102],[0.9631251389901978],[0.9646130399237011],[0.9628772027552794],[0.9645821313851093],[0.9626764293902482]
