aid362,if,0.4245535556976338,0.030349414259940925,0.01453439219585663,0.002015453967773423
aid362,if,0.4896141440070654,0.0414723012098815,0.012990421130213583,0.0022852940985175706
backdoor,if,0.509796973302351,0.008523611990044528,0.7014374451515402,0.003162605150424974
celeba,if,0.39341586035434883,0.018070674000257157,0.01896504526866622,0.0005771234396457964
chess,if,0.4902074383681037,0.046580126329734364,0.0009997786268787976,0.00035860590120530825
cmc,if,0.44555767685530584,0.0651208406846885,0.01697870614143244,0.0058381440883174315
r10,if,0.05499100585258907,0.006142843620859954,0.017173586151923777,0.0018916794096509313
sf,if,0.40503488480692623,0.04297959373928447,0.03727082426061113,0.007779290756456666
w7a,if,0.537009313111558,0.008585565691585301,0.03226281681967213,0.0009070571999751104
backdoor,if,0.454199894037716,0.0005770303421753152,0.6782559174847854,0.0016827342262352202
celeba,if,0.5142712306568631,0.0028691648592671995,0.02302608645084305,0.000700560600715235
chess,if,0.38288804553097533,0.07382279879189779,0.0008843195831265852,0.00018205189256696185
cmc,if,0.5096671712879681,0.031422375123044674,0.02304172003311155,0.005480089934195348
r10,if,0.0651060086462959,0.009015326406176936,0.01656459961381206,0.0017298124534091612
sf,if,0.4989899430999736,0.02618561654839433,0.04395002501109901,0.009086397410392166
w7a,if,0.4763654434183664,0.011070723232998987,0.028793964293137624,0.001516540760317155
